,Postcode,Population
0,3854,1397
1,3844,28980
2,3840,16476
3,3939,14524
4,3192,22291
5,3193,19508
6,3106,16618
7,3107,13552
8,3152,33092
9,3179,6022
10,3752,24060
11,3076,32395
12,3823,1838
13,3283,1361
14,3285,1207
15,3816,2721
16,3331,5997
17,3023,63972
18,3197,11548
19,3029,93950
20,3024,23849
21,3020,44783
22,3012,26298
23,3026,73
24,3025,12152
25,3028,29201
26,3211,1322
27,3030,100313
28,3027,6646
29,3212,16652
30,3903,751
31,3902,408
32,3198,16463
33,3235,381
34,3782,7827
35,3808,3033
36,3809,7210
37,3978,10648
38,3820,15952
39,3821,2917
40,3818,14167
41,3091,1588
42,3089,11733
43,3090,2364
44,3134,32781
45,3136,44369
46,3135,19956
47,3038,27262
48,3833,307
49,3243,358
50,3737,4303
51,3741,3100
52,3423,477
53,3414,1826
54,3832,247
55,3915,9960
56,3241,2566
57,3242,828
58,3859,834
59,3238,218
60,3862,3156
61,3940,4930
62,3575,811
63,3166,23757
64,3824,5004
65,3223,7397
66,3217,6607
67,3227,4819
68,3996,5538
69,3658,6222
70,3233,2030
71,3463,2451
72,3544,250
73,3682,613
74,3311,1696
75,3523,3620
76,3266,3067
77,3971,4018
78,3700,1318
79,3000,37975
80,3002,4964
81,3239,424
82,3871,2902
83,3424,769
84,3690,33518
85,3701,1078
86,3200,5762
87,3475,345
88,3132,16148
89,3610,1712
90,3608,2418
91,3434,5069
92,3909,7901
93,3204,30635
94,3887,342
95,3393,2685
96,3391,171
97,3384,547
98,3073,50474
99,3380,6032
100,3338,23412
101,3363,3479
102,3039,14250
103,3138,21967
104,3765,6761
105,3675,1805
106,3333,825
107,3465,9776
108,3464,1115
109,3249,3199
110,3058,33778
111,3673,1732
112,3284,3439
113,3282,2362
114,3364,2149
115,3081,13424
116,3040,25936
117,3072,32851
118,3995,10173
119,3639,526
120,3638,2074
121,3096,1961
122,3137,13871
123,3145,23295
124,3722,5018
125,3251,522
126,3858,3025
127,3847,2191
128,3044,27116
129,3240,2021
130,3228,17939
131,3304,2725
132,3489,57
133,3191,10241
134,3265,2621
135,3442,7463
136,3573,333
137,3264,2288
138,3036,5925
139,3556,13085
140,3550,40339
141,3305,12816
142,3614,882
143,3375,208
144,3379,803
145,3672,10330
146,3728,636
147,3621,2368
148,3518,1306
149,3695,471
150,3517,1421
151,3563,808
152,3747,4625
153,3746,385
154,3571,318
155,3677,18102
156,3450,6834
157,3712,353
158,3373,2292
159,3895,193
160,3711,492
161,3893,23
162,3758,2181
163,3762,131
164,3392,580
165,3447,448
166,3891,106
167,3294,959
168,3435,2879
169,3431,3947
170,3126,8056
171,3124,22094
172,3759,1062
173,3357,3714
174,3048,18029
175,3718,72
176,3720,570
177,3130,32174
178,3125,15019
179,3799,5798
180,3151,10273
181,3433,218
182,3432,197
183,3064,75457
184,3430,320
185,3979,321
186,3468,286
187,3378,146
188,3049,9262
189,3812,2312
190,3293,301
191,3319,344
192,3663,182
193,3467,1193
194,3896,406
195,3317,200
196,3659,736
197,3662,1078
198,3992,967
199,3778,205
200,3751,277
201,3063,573
202,3061,5056
203,3300,10088
204,3143,9054
205,3097,1443
206,3885,1871
207,3438,2387
208,3334,565
209,3813,886
210,3074,20523
211,3735,602
212,3395,364
213,3567,655
214,3420,279
215,3566,551
216,3709,290
217,3537,1043
218,3562,279
219,3647,44
220,3565,109
221,3419,803
222,3644,9227
223,3688,1236
224,3576,74
225,3618,679
226,3624,561
227,3617,158
228,3570,753
229,3491,133
230,3488,115
231,3583,209
232,3487,93
233,3687,1098
234,3649,434
235,3483,889
236,3542,157
237,3505,4832
238,3496,6224
239,3530,126
240,3599,132
241,3597,415
242,3594,530
243,3396,739
244,3485,302
245,3595,663
246,3591,159
247,3590,336
248,3589,352
249,3588,356
250,3584,1138
251,3579,5365
252,3581,168
253,3531,191
254,3580,991
255,3568,2945
256,3529,121
257,3527,785
258,3512,371
259,3669,1337
260,3670,572
261,3744,453
262,3401,4421
263,3385,517
264,3413,215
265,3388,561
266,3412,299
267,3409,932
268,3387,312
269,3472,1480
270,3400,14543
271,3699,1124
272,3623,899
273,3665,359
274,3900,149
275,3616,5357
276,3520,180
277,3557,785
278,3697,574
279,3733,215
280,3698,862
281,3607,131
282,3664,1070
283,3140,16531
284,3451,5656
285,3309,124
286,3796,9702
287,3851,5687
288,3022,3103
289,3068,18662
290,3453,1723
291,3342,3441
292,3047,20903
293,3060,14043
294,3046,34063
295,3043,17716
296,3115,3796
297,3094,8960
298,3274,246
299,3042,15766
300,3113,8457
301,3287,433
302,3276,482
303,3033,14514
304,3093,3891
305,3325,479
306,3950,4800
307,3105,10873
308,3271,196
309,3864,217
310,3116,9872
311,3561,4436
312,3749,1888
313,3507,158
314,3509,233
315,3506,36
316,3596,94
317,3540,291
318,3482,164
319,3620,8240
320,3683,1757
321,3704,20
322,3546,402
323,3371,992
324,3779,394
325,3825,20281
326,3361,680
327,3221,749
328,3216,56284
329,3975,15248
330,3095,27771
331,3522,339
332,3370,1783
333,3085,13886
334,3034,11633
335,3079,15988
336,3756,11926
337,3757,8959
338,3446,1025
339,3585,11206
340,3803,10855
341,3755,252
342,3754,37757
343,3725,629
344,3555,19687
345,3558,913
346,3805,56933
347,3525,1301
348,3444,9198
349,3559,542
350,3478,2456
351,3428,675
352,3045,104
353,3461,4149
354,3551,29565
355,3056,24473
356,3165,27635
357,3448,876
358,3147,14637
359,3161,15269
360,3232,1114
361,3958,272
362,3071,18568
363,3057,11504
364,3708,60
365,3822,985
366,3381,1212
367,3123,14321
368,3494,663
369,3345,1151
370,3631,11612
371,3302,371
372,3501,1941
373,3717,2650
374,3222,14960
375,3226,14165
376,3114,3822
377,3723,3005
378,3214,23964
379,3678,6356
380,3763,1536
381,3254,310
382,3458,1945
383,3182,23391
384,3732,588
385,3188,18083
386,3360,765
387,3960,2474
388,3959,1151
389,3889,184
390,3490,1293
391,3199,54298
392,3374,400
393,3315,1624
394,3904,1449
395,3630,31272
396,3888,3426
397,3310,276
398,3797,3476
399,3104,20406
400,3928,416
401,3121,30499
402,3761,1226
403,3705,261
404,3925,3384
405,3516,694
406,3084,25517
407,3984,5209
408,3004,9307
409,3886,389
410,3141,25147
411,3171,21714
412,3174,38461
413,3726,401
414,3231,1256
415,3377,9416
416,3707,1836
417,3390,910
418,3351,8168
419,3356,16321
420,3469,280
421,3564,15944
422,3032,29450
423,3764,9165
424,3075,22594
425,3087,9031
426,3031,18531
427,3521,660
428,3335,5856
429,3133,22125
430,3330,217
431,3213,4033
432,3168,20197
433,3804,8094
434,3144,10886
435,3018,12689
436,3019,9195
437,3083,31526
438,3103,15343
439,3181,20260
440,3088,26892
441,3146,25255
442,3352,15996
443,3641,1238
444,3637,594
445,3207,16175
446,3807,7097
447,3586,829
448,3781,4477
449,3783,2350
450,3500,32738
451,3498,5325
452,3714,3509
453,3713,1024
454,3108,20826
455,3129,17376
456,3015,17472
457,3206,10359
458,3016,15560
459,3738,219
460,3640,996
461,3268,2607
462,3037,51155
463,3926,3242
464,3916,955
465,3929,905
466,3882,1095
467,3730,8833
468,3685,2722
469,3691,9704
470,3418,2772
471,3965,209
472,3269,730
473,3236,230
474,3964,134
475,3201,20711
476,3194,12965
477,3215,20616
478,3660,7574
479,3220,16353
480,3981,4898
481,3219,19715
482,3873,321
483,3934,18548
484,3275,425
485,3913,3338
486,3835,471
487,3988,999
488,3270,247
489,3966,511
490,3237,214
491,3267,248
492,3224,14187
493,3874,558
494,3842,4783
495,3936,11024
496,3918,3705
497,3937,1524
498,3919,3183
499,3942,2313
500,3944,510
501,3170,19368
502,3666,4698
503,3462,1173
504,3980,3350
505,3415,40
506,3646,584
507,3341,1663
508,3910,22588
509,3953,7855
510,3429,36297
511,3750,9060
512,3340,21121
513,3480,1856
514,3753,2330
515,3011,21462
516,3013,14965
517,3041,12412
518,3055,14159
519,3477,829
520,3850,14779
521,3870,1271
522,3962,914
523,3533,778
524,3572,151
525,3875,18625
526,3878,1094
527,3869,1626
528,3230,2545
529,3943,1592
530,3280,31569
531,3612,1709
532,3892,1063
533,3810,47894
534,3941,12172
535,3515,1944
536,3898,790
537,3636,5241
538,3634,1799
539,3337,36454
540,3923,519
541,3427,2763
542,3957,281
543,3967,125
544,3792,1065
545,3187,15998
546,3159,2648
547,3323,92
548,3202,2907
549,3021,54191
550,3946,209
551,3911,3414
552,3931,23989
553,3279,290
554,3407,420
555,3890,324
556,3715,307
557,3719,367
558,3622,457
559,3549,3522
560,3633,605
561,3635,537
562,3629,9127
563,3006,18808
564,3860,7172
565,3150,60079
566,3099,4878
567,3289,756
568,3178,33672
569,3205,10920
570,3149,33611
571,3350,59145
572,3155,22195
573,3008,10437
574,3880,4032
575,3793,3577
576,3303,336
577,3865,449
578,3101,24605
579,3051,14940
580,3066,8513
581,3787,1062
582,3183,18497
583,3148,8641
584,3791,1437
585,3162,17448
586,3786,1518
587,3785,77
588,3186,23253
589,3329,285
590,3273,143
591,3154,4419
592,3127,18445
593,3067,8197
594,3003,5515
595,3142,12909
596,3052,5694
597,3054,8428
598,3272,1539
599,3324,529
600,3131,22504
601,3766,1239
602,3976,25530
603,3314,525
604,3190,10454
605,3286,566
606,3172,23089
607,3195,35869
608,3292,190
609,3260,4766
610,3977,93326
611,3053,18535
612,3065,10445
613,3795,1246
614,3930,17888
615,3912,15157
616,3281,1699
617,3225,4058
618,3933,1098
619,3278,313
620,3852,93
621,3987,1527
622,3301,1211
623,3109,28360
624,3954,404
625,3234,181
626,3945,978
627,3951,1003
628,3956,2821
629,3437,10439
630,3082,29710
631,3111,12347
632,3139,13718
633,3777,10751
634,3775,3861
635,3770,3218
636,3806,48520
637,3760,369
638,3122,23511
639,3153,20554
640,3250,12250
641,3102,6635
642,3920,1040
643,3927,1667
644,3767,1251
645,3441,1335
646,3440,2040
647,3070,24561
648,3078,11638
649,3218,13437
650,3059,15466
651,3788,1738
652,3460,2567
653,3156,37464
654,3158,6652
655,3815,3022
656,3128,19828
657,3814,2255
658,3355,13014
659,3163,32353
660,3332,1014
661,3167,9261
662,3169,20122
663,3189,5895
664,3831,1702
665,3175,53297
666,3802,24298
667,3856,989
668,3177,11306
669,3857,364
670,3160,9014
671,3322,175
672,3328,1721
673,3173,25785
674,3321,1518
675,3196,25327
676,3180,7462
677,3184,15543
678,3185,12929
679,3789,265
680,3938,2823
681,3990,106
682,3991,359
683,3922,7738
684,3739,212
685,3740,1072
686,3727,309
687,3318,1267
688,3312,1031
689,3277,1926
690,3921,119
